No|Judul|Penulis|Genre|Tahun Terbit|Kategori
353|Mereka yang Harum di Langit|Ustaz Nazmi Karim|Sejarah|2021|sastramelayu
354|Inspirasi Murabbi|Ustazah Datuk Dr. Norhafizah Musa|Inspirasi|2021|sastramelayu
355|Magnet Diri - Edisi Kemas Kini|Amin Idris|Inspirasi|2021|sastramelayu
356|Psikologi Orang Berjaya|Ainon Mohd.|Inspirasi|2021|sastramelayu
357|Hartanah Barakah|Ahmad Husni Abd Rahman|Inspirasi|2021|sastramelayu
358|Adab Berdamping dengan Al-Quran|Imam An-Nawawi|Inspirasi|2021|sastramelayu
359|7 Keajaiban Diet Rasulullah s.a.w.|Muhd Hamiduddin bin Ahmad|Inspirasi|2021|sastramelayu
360|40 Kisah yang Membuatkan Nabi Ketawa Berdasarkan Hadith Sahih|Mustafar Mohd Suki|Sejarah|2021|sastramelayu
361|"Hendak Seribu Daya Tak Nak Seribu Dalih"|Maslina Yusoff|Cerpen|2021|sastramelayu
362|Tidak Lama Dahulu|Yusof Ismail|Cerpen|2021|sastramelayu
363|Gajah Sejati|Yusof Ismail|Cerpen|2021|sastramelayu
364|Bagaimana Acuan Begitulah Kuihnya|Maslina Yusoff|Cerpen|2021|sastramelayu
365|Patah Tumbuh Hilang Berganti|Maslina Yusoff|Cerpen|2021|sastramelayu
366|Bergurau Pun Tak Boleh?|Ida Zuriani|Cerpen|2021|sastramelayu
367|Siri Bencana Alam: Banjir|Sarimah Haji|Cerpen|2021|sastramelayu
368|Saya Nak Gajah!|Ida Zuraini|Cerpen|2021|sastramelayu
369|Bisingnya!|Nur Humairah Suleman|Cerpen|2021|sastramelayu
370|Sang Kancil Becomes A Judge|Rahimidin Zahari|Cerpen|2021|sastramelayu
371|Demang Lebar Daun|Abdullah Basmeh|Cerpen|2021|sastramelayu
372|Bongkar Seni Memikat Pelanggan|Shah Othman|Inspirasi|2021|sastramelayu
373|Kembara Motivator Muda|Farhaan Rahmat|Inspirasi|2021|sastramelayu
374|Pelaburan Hartanah Tanpa Modal|Saufi Karim|Inspirasi|2015|sastramelayu
375|Selamatkan Duit Anda Daripada Format Komputer Di Kedai|Fadhlan Hilmi|Inspirasi|2017|sastramelayu
376|"Buat Duit Dengan Menulis Ebook: 12 Langkah Tulis Terbit dan Jual Sendiri Ebook Anda"|Yusni Yussof|Inspirasi|2019|sastramelayu
377|PENTERNAKAN AYAM PENELUR (Edisi Kedua)|Abd. Rahman Mohd. Yasin|Inspirasi|2021|sastramelayu
378|MANUAL TEKNOLOGI PENGHASILAN MINUMAN RINGAN|Hamdzah A. Rahman|Novel|2021|sastramelayu
379|PERUSAHAAN MEMPROSES KARIPAP SEGERA|Samsudin Ahmad|Inspirasi|2021|sastramelayu
380|PENANAMAN SAYURAN SECARA ORGANIK DI MALAYSIA|Illani Zuraihah Ibrahim|Inspirasi|2021|sastramelayu
381|Siri Usahawan Tani-Tanaman Cendawan|Nasnan Jajuli|Inspirasi|2020|sastramelayu
382|Memulakan Bisnes Sendiri|Ainon Mohd.|Inspirasi|2015|sastramelayu
383|Halangan Pembangunan Pintar|Khadijah Hussin|Inspirasi|2021|sastramelayu
384|Pekerja Industri - Isu & Teknik Penyelesaiannya|Hamdan Abd. Kadir|Inspirasi|2021|sastramelayu
385|Pembangunan Organisasi Pendidikan|Mohamad Najib Abdul Ghafar|Inspirasi|2021|sastramelayu
386|"Menyingkap Rahsia Merungkai Mitos. Peteri: Kesenian Terapi Psikologi"|LIM SWEE TIN|Inspirasi|2021|sastramelayu
387|Mengurus Konflik Gaya Streetsmart|Zamri Mohamad|Inspirasi|2021|sastramelayu
388|Rahsia Melabur dalam Unit Amanah|Sunthara Segar|Inspirasi|2016|sastramelayu
389|Budaya Usahawan Berjaya|Buerah Tunggak|Inspirasi|2021|sastramelayu
390|Universiti Cemerlang Menjana Kesejahteraan Sejagat|WAHID OMAR|Inspirasi|2021|sastramelayu
391|Makan Gaji tetapi Kaya|Shamsuddin Abdul Kadir|Inspirasi|2017|sastramelayu
392|Rancang Wang Dari Sekarang|pakdi|Inspirasi|2021|sastramelayu
393|Personaliti dan Kerohanian : USAHAWAN BERJAYA|MOHD ZAIN BIN MUBARAK|Inspirasi|2021|sastramelayu
394|Perutusan Tahun Baru Naib Canselor 2011 : Menjana Minda Kreatif Inovatif|Zaini Ujang|Inspirasi|2021|sastramelayu
395|Gaya Kepimpinan Di Tempat Kerja|Abdullah Hassan|Inspirasi|2021|sastramelayu
396|11 Teori dan Prinsip Motivasi di Tempat Kerja|Abdullah Hassan|Inspirasi|2021|sastramelayu
397|Bakat & Kemahiran Memimpin|Abdullah Hassan|Inspirasi|2019|sastramelayu
398|Rahsia Mengurus Insurans Hayat|Sunthara Segar|Inspirasi|2019|sastramelayu
399|Resipi Kejayaan Untuk Pembimbing Rakan Sebaya|Ahmad Fadzli Yusof|Inspirasi|2021|sastramelayu
400|Kuasai Dunia dengan Berfikir|Ainon Mohd|Inspirasi|2021|sastramelayu
401|Kemampanan Ekonomi Luar Bandar|Mohd Zaki Bahrudin|Inspirasi|2021|sastramelayu
402|Memacu Kegemilangan Pendidikan Tinggi Berpaksikan Kemanusiaan|WAHID OMAR|Inspirasi|2021|sastramelayu
403|Tatacara Operasi Piawai (TOP) Ternakan Ikan Keli|Lee Seong Wei|Inspirasi|2021|sastramelayu
404|Hidup Tenang Walaupun Berhutang|Shamsuddin Abdul Kadir|Inspirasi|2021|sastramelayu
405|200 Tip Menjadi Usahawan Kaya Iman Gaya Rasulullah|Nur Hanan Mardhiah Ghazali|Inspirasi|2021|sastramelayu
406|TERNAKAN KATAK KUAK|Lee Seong Wei|Inspirasi|2021|sastramelayu
407|RANCANGAN PERNIAGAAN UNTUK KEUSAHAWANAN|MOHD NOR HAKIMIN BIN YUSOFF|Inspirasi|2021|sastramelayu
408|TERNAKAN KETAM NIPAH|Lee Seong Wei|Inspirasi|2021|sastramelayu
409|Beres Bos: Tip Mengurus Rutin Harian Pejabat|Samsudin Wahab|Inspirasi|2021|sastramelayu
410|30 Strategi Membina Pengaruh|Zamri Mohamad|Inspirasi|2020|sastramelayu
411|Mentor Efektif|Salhah Abdullah|Inspirasi|2021|sastramelayu
412|Rahsia Jutawan Islam: Abdul Rahman Bin Auf|Aizuddinur Hj Zakaria|Inspirasi|2020|sastramelayu
413|Rahsia Bisnes Isteri Nabi: Khadijah|Ashadi Zain|Sejarah|2021|sastramelayu
414|Panduan Bisnes Mudah|Umar Taib|Inspirasi|2014|sastramelayu
415|Urus Wang Semasa Gawat|Sunthara Segar|Inspirasi|2021|sastramelayu
416|Mudahnya Bisnes dengan Blogshop|Zamri Mohamad|Inspirasi|2021|sastramelayu
417|Anak Muda Bebas Hutang|Dr. Haji Badrul Hisham Mohd Yusoff|Inspirasi|2021|sastramelayu
418|"400 Adab Menjadi Pekerja Yang Disayangi Bos Misi Masuk Syurga"|Tengku Nusaibah|Inspirasi|2021|sastramelayu
419|Buat Beats Buat Duit|DJ Fuzz|Inspirasi|2021|sastramelayu
420|Rahsia Bisnes Orang Korea|Ann Wan Seng|Inspirasi|2021|sastramelayu
421|Cari Duit Cara Mudah Sebagai Penulis Bebas|Zamri Mohamad|Inspirasi|2020|sastramelayu
422|Buat Duit Dengan Salun|Mahsuri Ayu|Inspirasi|2021|sastramelayu
423|Buat Duit dengan YouTube|Illani Zuraihah Ibrahim|Inspirasi|2021|sastramelayu
424|PERHAMBAAN POLITIK|BOTAK|Inspirasi|2021|sastramelayu
425|AKU.DIA.DUNIA|Amir Amin Halim|Novel|2021|sastramelayu
426|AKU MANUSIA BERDOSA Koleksi Skrip Teater dan Filem Pendek|Nur Ahmad|Novel|2021|sastramelayu
427|MALANG|Nabil Latib|Novel|2019|sastramelayu
428|JAHAT|Syafiq Ghazali|Novel|2021|sastramelayu
429|3 Malam|Cempaka Aludra S Faizal Tasnim Halil|Novel|2021|sastramelayu
430|"HARUS HALAL ATAU HARAM"|OCHA VOZVYSHENNYY|Novel|2021|sastramelayu
431|Segitiga|Deefen|Novel|2019|sastramelayu
432|ASRAMA|Muhammad Fatrim|Novel|2016|sastramelayu
433|TELAGA|Khairi Mohd|Novel|2021|sastramelayu
434|TENGGEK|Anas Mohd|Novel|2021|sastramelayu
435|Anarkis|Khairul Nizam Khairani|Novel|2017|sastramelayu
436|PSIKIK|Husna Rosli|Novel|2021|sastramelayu
437|PARUT|Ada Haris|Novel|2019|sastramelayu
438|Kelabu|Nadia Khan|Novel|2017|sastramelayu
439|Eksistensi|Lokman Hakim|Novel|2021|sastramelayu
440|BELANTARA|Simon Malik|Novel|2021|sastramelayu
441|TOKSIK|Afiq Abruzzi|Novel|2019|sastramelayu
442|PADAM|Ibrahim Jama Huri|Novel|2020|sastramelayu
443|BERANG|Nazrul Kama|Novel|2021|sastramelayu
444|PUAKA|Sahidzan Salleh|Novel|2021|sastramelayu
445|MANUSKRIP|Rez Khael|Novel|2021|sastramelayu
446|ASRAMA: 2|Muhammad Fatrim|Novel|2017|sastramelayu
447|LANGKAH|Dayang Noor|Novel|2021|sastramelayu
448|DIHANTU|Mikael Sahaja|Novel|2021|sastramelayu
449|PONTENG|Mim Jamil|Novel|2021|sastramelayu
450|BURUAN|Aiman Hazziq|Novel|2021|sastramelayu
451|BANGKIT|Appy Mohd Hapizan|Novel|2021|sastramelayu
452|DELIMA|Regina Ibrahim|Novel|2021|sastramelayu
453|MEREKA|Ariff Adly|Novel|2021|sastramelayu
454|LAKNAT|Fahmi Mustaffa|Novel|2021|sastramelayu
455|BONGKAR|Faizal Sulaiman|Novel|2021|sastramelayu
456|Trilogi Murtad #1: MURTAD|Hasrul Rizwan|Novel|2020|sastramelayu
457|NOTA|Shaz Johar|Novel|2021|sastramelayu
458|PAKAR|Nadia Khan|Novel|2019|sastramelayu
459|Trilogi Ngeri #1: NGERI|Gina Yap Lai Yoong|Novel|2019|sastramelayu
460|Trilogi Bisik #1: Bisik|Syaihan Syafiq|Novel|2021|sastramelayu
461|PATUNG|Muhammad Fatrim|Novel|2021|sastramelayu
462|LAWAN|Khairul Nizam Khairani|Novel|2017|sastramelayu
463|SANTET|Saat Omar|Novel|2018|sastramelayu
464|PARANORMAL|Hani Suraya|Novel|2018|sastramelayu
465|MENTAL|Shaz Johar|Novel|2019|sastramelayu
466|KOTA|Kamalia|Novel|2020|sastramelayu
467|SAMAR|Dayang Noor|Novel|2019|sastramelayu
468|SERONOK|Saat Omar|Novel|2021|sastramelayu
469|SUSPEK|Inawza Yusof|Novel|2015|sastramelayu
470|PECAH|Khairulnizam Bakeri|Novel|2021|sastramelayu
471|GANTUNG|Nadia Khan|Novel|2014|sastramelayu
472|DENDAM|Affifudin Omar|Novel|2021|sastramelayu
473|JERAT|Dayang Noor|Novel|2020|sastramelayu
474|Ini Buku Seram|Resmanshah|Novel|2020|sastramelayu
475|Mek Siah|Izam Nor|Novel|2021|sastramelayu
476|MATA GHAIB - SIRI 1|UJA HAMZA|Novel|2020|sastramelayu
477|Projek Seram - Kem|Maria Kajiwa|Novel|2021|sastramelayu
478|Rahsia Diari Merah|Iman Fadia|Novel|2019|sastramelayu
479|Jurig Jarian|Prayudi Q|Novel|2019|sastramelayu
480|PIJAMA|Rahim Ramli|Novel|2018|sastramelayu
481|Suami Tanpa Cinta|Syamnuriezmil|Romance|2018|sastramelayu
482|Pencuri Hati Vs Penembak Cinta|Ailah Diela|Romance|2015|sastramelayu
483|Setulus Janji|Aina Emir|Romance|2021|sastramelayu
484|Seindah Takdir Cinta|Kamsiah Abu|Romance|2018|sastramelayu
485|Awak Sangat Nakal!|Syamnuriezmil|Romance|2016|sastramelayu
486|Budak SMART|Ilmar Imia|Novel|2021|sastramelayu
487|Terima Kasih Cinta|Aisya Sofea|Romance|2017|sastramelayu
488|Kompilasi cerpen: Pelangi selepas Hujan|Umi Kalsom|Cerpen|2021|sastramelayu
489|Dear Ustaz Will You Marry Me|Ameera Ameer|Novel|2021|sastramelayu
490|Mr Right Untuk Aku|Sara Kyoko|Novel|2020|sastramelayu
491|Benci/Cinta Awak Budak Nakal|Qaseh Farina|Novel|2021|sastramelayu
492|Opss Terpikat Cik Sombong|Cici Aida|Novel|2020|sastramelayu
493|Cinta Han Dan Nad|Jaja Ahmad|Novel|2021|sastramelayu
494|Pakej Cinta Kombo|Dhiyana|Novel|2020|sastramelayu
495|"UWAIZ ENGKAU YANG AKU CINTA"|ANITHSYA|Novel|2021|sastramelayu
496|TUAN BEN|Nuriffa|Novel|2020|sastramelayu
497|ANAK CIKGU TIMAH MASUK KAMPUNG|NAJWA RAHMAN|Novel|2021|sastramelayu
498|BIDADARI BUAT LUQMAN|Azwari|Novel|2020|sastramelayu
499|Kau Untukku 2020|Aisya Sofea|Novel|2021|sastramelayu
500|CALON ISTERI JUTAWAN|Nuriffa|Novel|2020|sastramelayu
501|ISTERI PILIHAN DIA|Nuriffa|Romance|2020|sastramelayu
502|Makmum Yang Tertinggal|Razlina Azura|Romance|2020|sastramelayu
503|Pejuang Cinta|Cik Bawang|Romance|2021|sastramelayu
504|Jika Aku|Anna Lee|Novel|2021|sastramelayu
505|Kimchi Untuk Awak|Suri Ryana|Romance|2019|sastramelayu
506|"Alahai Mat Salih!"|Zan Zarida|Romance|2019|sastramelayu
507|Penceroboh Hati|Dekna Lee|Novel|2020|sastramelayu
508|Syarat Yang Ke-3|EFFJAY|Novel|2020|sastramelayu
509|Mahkota Seorang Playboy|AII FARIZA|Novel|2021|sastramelayu
510|Bila Lagu Cinta Bergema|Wardina Aisyah|Romance|2016|sastramelayu
511|Pengantin Tangkap Muat|Dhiyana|Novel|2018|sastramelayu
512|Si Pencuri Hati|Dayana Darwisy|Romance|2019|sastramelayu
513|Salju Cinta Anna|Aida Adriana|Romance|2020|sastramelayu
514|Ujian Untuk Bahagia|Cik Tet|Romance|2018|sastramelayu
515|Aku Ada|EFFJAY|Novel|2019|sastramelayu
516|PIAH DI HATI MR BEKU|MIA AZWARI|Novel|2020|sastramelayu
517|"Aiseyman Driver Aje!"|Arasharrina|Novel|2016|sastramelayu
1|Kakawin Nagarakretagama|Empu Prapañca|Sejarah|2014|sastrajawa
2|Kakawin Arjunawijaya|Empu Tantular|Sejarah|2010|sastrajawa
3|Kisah Tanah Jawa: Jagat Lelembut|Dapoer Tjerita|Horor|2019|sastrajawa
4|Pitutur Wong Jawa: Belajar Bijak Ala Orang Jawa|Asti Musman|Inspiratif|2021|sastrajawa
5|Nrimo Ing Pandum: Cara Berbahagia Ala Orang Jawa|Asti Musman|Sejarah|2021|sastrajawa
6|Babad Demak: sejarah perkembangan Islam di tanah Jawa|Maharsi Purwadi|Sejarah|2005|sastrajawa
7|Rambulan Secuwil|Irul S. Budianto|Fiksi|2014|sastrajawa
8|Godhong Suruh Temu Rose|Sugito HS|Fiksi|2011|sastrajawa
9|Mak Ana Asu Mlebu  Ngomah|Andy Sri Wahyudi|Fiksi|2014|sastrajawa
10|Layange Sinta Marang Rama|Sugito HS|Puisi|2010|sastrajawa
11|Babad Tanah Jawi|Ngabehi Ketrapradja|Fiksi|2014|sastrajawa
12|Babad Ki Ageng Mangir|Dr. Purwadi|Sejarah|2014|sastrajawa
13|Kakawin Sutasoma|Mpu Tantular|Sejarah|1975|sastrajawa
14|Kuñjarakarna|Mpu Dusun|Fiksi|1989|sastrajawa
15|Kakawin Hariwangsa|Empu Panuluh|Fiksi|2021|sastrajawa
16|Serat Cebolek|Ashar S|Sejarah|1989|sastrajawa
17|Kakawin Smaradahana|Mpu Dharmaja|Sejarah|2021|sastrajawa
18|Serat Centhini|R. Ng. Ranggasutrasna|Sejarah|1982|sastrajawa
19|Sang Hyang Kamahayanikan|Mpu Shri Sambhara Surya Warama|Sejarah|2021|sastrajawa
20|Wirataparwa|Byasa|Fiksi|2010|sastrajawa
21|Serat suluk saha wirid para wali ing tanah Jawi|Pangeran ing Benang |Sejarah|1928|sastrajawa
22|Kalangwan|Petrus Josephus Zoetmulder|Sejarah|1974|sastrajawa
23|Mosalaparwa|Byasa|Fiksi|2003|sastrajawa
24|Swargarohanaparwa|Byasa|Fiksi|2003|sastrajawa
25|Sabhaparwa|Byasa|Fiksi|1907|sastrajawa
26|Prasthanikaparwa|Byasa|fiksi|2010|sastrajawa
27|Muryalelana|Tirto Suwondo|Fiksi|2005|sastrajawa
28|Manunggaling Kawula Gusti |Petrus Josephus Zoetmulder|Sejarah|1991|sastrajawa
29|Uttarakanda|Ashia Sattar|Sejarah|2010|sastrajawa
30|Suwung|Setyo Hajar Dewantoro|Sejarah|2017|sastrajawa
31|Bateljemur Adammakna|Cokroningrat|Sejarah|1994|sastrajawa
32|Darmagandhul|Damar Shashangka|Sejarah|2011|sastrajawa
33|Sabda Palon|Damar Shashangka|Sejarah|2011|sastrajawa
34|Mistik Kejawen|Suwardi Endraswara|Sejarah|2003|sastrajawa
35|Ramayana|Yogiswara|Sejarah|2014|sastrajawa
36|Arjunawiwaha|Mpu Kanwa|Sejarah|1030|sastrajawa
37|Hariwangsa|Mpu Panuluh|Sejarah|2009|sastrajawa
38|Bharatayuddha|Mpu Sedah dan Panuluh|Sejarah|2007|sastrajawa
39|Gatotkacasraya|Mpu Panuluh|Sejarah|2009|sastrajawa
40|Kresnayana|Mpu Panuluh|Sejarah|2010|sastrajawa
41|Smaradahana|Mpu Dharmaja|Sejarah|2013|sastrajawa
42|Arjunawijaya|Mpu Tantular|Sejarah|1019|sastrajawa
43|Sutasoma|Mpu Tantular|Sejarah|1365|sastrajawa
44|Nagarakrtagama|Mpu Prapanca|Sejarah|1365|sastrajawa
45|lubdaka/Siwaratrikalpa|Mpu Tanakung|Sejarah|1982|sastrajawa
46|Kidung Harsawijaya| Raden Wijaya|Sejarah|1293|sastrajawa
47|Kidung Ranggalawe|P.J. Zoetmulder|Fiksi|1540|sastrajawa
48|Kidung Sorandaka|P.J. Zoetmulder|Fiksi|1928|sastrajawa
49|Kidung Sunda|P.J. Zoetmulder|Fiksi|1927|sastrajawa
50|Wangbang Wideya|S. O. Robson|Sejarah|1792|sastrajawa
51|Sri Tanjung|R. Iskandar|Sejarah|1977|sastrajawa
52|Babad Pajajaran|Pangeran Adilangu|Sejarah|1985|sastrajawa
53|Babad Demak|Pangeran Adilangu|Sejarah|1981|sastrajawa
54|Babad Mentawis|Pangeran Adilangu|Sejarah|1979|sastrajawa
55|Babad Kartasura|Carik Bajra|Sejarah|1978|sastrajawa
56|Babad Tanah Jawi|Carik Bajra|Sejarah|2007|sastrajawa
57|Tajusalatin|Raden Ngabehi Yasadipura I|Sejarah|1729|sastrajawa
58|Babad Giyanti|Raden Ngabehi Yasadipura I|Fiksi|1729|sastrajawa
59|Sewaka|Raden Ngabehi Yasadipura I|Fiksi|1729|sastrajawa
60|Ambiya|Raden Ngabehi Yasadipura I|Fiksi|1729|sastrajawa
61|Menak|Raden Ngabehi Yasadipura I|Fiksi|1729|sastrajawa
62|Baratayuda (jarwa)|Raden Ngabehi Yasadipura I|Fiksi|1729|sastrajawa
63|Babad Prayut|Raden Ngabehi Yasadipura I|Fiksi|1729|sastrajawa
64|Cebolek|Raden Ngabehi Yasadipura I|Fiksi|1803|sastrajawa
65|Arjunawiwaha (jarwa)|Raden Ngabehi Yasadipura I|Fiksi|1803|sastrajawa
66|Arjunasasrabahu (jarwa)|Raden Ngabehi Yasadipura I|Fiksi|1803|sastrajawa
67|Rama (jarwa)|Raden Ngabehi Yasadipura I|Sejarah|1803|sastrajawa
68|Panitisastra (Kawi Miring)|Raden Ngabehi Yasadipura I|Sejarah|1803|sastrajawa
69|Dewa Ruci (jarwa)|Raden Ngabehi Yasadipura I|Sejarah|1803|sastrajawa
70|Babad Pakepung|Raden Ngabehi Yasadipura I|Sejarah|1803|sastrajawa
71|Serat Arjunasasra|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
72|Serat Darmasunya|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
73|Serat Panitisastra|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
74|Serat Kawidasanama|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
75|Serat Ambiya|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
76|Serat Musa|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
77|Serat Sasana Sunu|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
78|Babad Pakepung|Raden Ngabehi Yasadipura II|Sejarah|1893|sastrajawa
79|Serat Wicara Keras|Raden Ngabehi Yasadipura II|Sejarah|1823|sastrajawa
80|Serat Centhini|Raden Ngabehi Yasadipura II|Sejarah|1992|sastrajawa
81|Serat Kalatidha|Raden Ngabehi Ranggawarsita|Puisi|1931|sastrajawa
82|Serat Jaka Lodhang|Raden Ngabehi Ranggawarsita|Puisi|1932|sastrajawa
83|Serat Sabdajati|Raden Ngabehi Ranggawarsita|Puisi|1934|sastrajawa
84|Serat Wirid Hidayat Jati|Raden Ngabehi Ranggawarsita|Puisi|1954|sastrajawa
85|Serat Pustakaraja Purwa|Raden Ngabehi Ranggawarsita|Puisi|1993|sastrajawa
86|Serat Jayengbaya|Raden Ngabehi Ranggawarsita|Puisi|1980|sastrajawa
87|Cariyos Kekesahan Saking Tanah Jawi Dhateng Nagari Welandi|RMA Suryasuparta|Fiksi|1920|sastrajawa
88|Wong mardika kang kang marsudi kasusastran Jawa|Imam Supardi|Sejarah|1975|sastrajawa
89|Rangsang Tuban|Ki Padmosusastra|Sejarah|1984|sastrajawa
90|Layang Madubasa|Ki Padmosusastra|Sejarah|1981|sastrajawa
91|Serat Pathibasa|Ki Padmosusastra|Sejarah|1987|sastrajawa
92|Serat Riyanto|RM Sulardi|Sejarah|1920|sastrajawa
93|Sandhal Jinjit Ing Sekaten Sala|Sri Susinah|Sejarah|1935|sastrajawa
94|Netepi Kuwajiban|Sambo|Sejarah|1935|sastrajawa
95|Dayaning Sastra|R. Intoyo|Sejarah|1941|sastrajawa
96|Uttarakanda|Dharmawangsa Teguh|Prosa|2006|sastrajawa
97|Brahmandapur|Sang Hyang Kamahayanikan|Prosa|1993|sastrajawa
98|Agastyaparwa|Drs I Gede Sura|Prosa|2006|sastrajawa
99|Babad Dipenegoro I|Diponegoro|Sejarah|2012|sastrajawa
100|Babad Diponegoro III|Diponegoro|Sejarah|2012|sastrajawa
101|Serat Jatimurti|Joko Siswanto|Sejarah|2014|sastrajawa
102|Serat Madurasa|Pujo Prayitno|Sejarah|1995|sastrajawa
103|Wedharama Winardi|Sri Mangkunegara |Sejarah|1928|sastrajawa
104|Talijiwo|Sujiwo Tejo|Novel|2018|sastrajawa
105|Ngawur karena benar|Sujiwo Tejo|Novel|2012|sastrajawa
106|Senandung Talijiwo|Sujiwo Tejo|Novel|2019|sastrajawa
107|Dalang edan|Sujiwo Tejo|Novel|2002|sastrajawa
108|Tembang talijiwo: cinta harga hidup rindu mematikannya|Sujiwo Tejo|Novel|2020|sastrajawa
109|Serat Tripama: gugur cinta di Maespati|Sujiwo Tejo|Novel|2016|sastrajawa
110|Sabdo cinta angon kasih|Sujiwo Tejo|Novel|2018|sastrajawa
111|Dalang galau ngetwit|Sujiwo Tejo|Novel|2013|sastrajawa
112|Balada Gathak Gathuk|Sujiwo Tejo|Novel|2016|sastrajawa
113|Swarganing Budi Ayu|Ardjasoeparta|Novel|1923|sastrajawa
114|Kidung Awang-Uwung|Akhmad Nugroho|Puisi|1983|sastrajawa
115|Lintang-Lintang Ambyor|Akhmad Nugroho|Puisi|1983|sastrajawa
116|Pangilon|Akhmad Nugroho|Puisi|1994|sastrajawa
117|Angin sumilir|Suripan Sadi Hutomo|Puisi|1988|sastrajawa
118|Cerita kentrung Sarahwulan di Tuban|Suripan Sadi Hutomo|Cerpen|1993|sastrajawa
119|Nresnani Andheng- Andheng|Ardian Syamsuddin|Puisi|1973|sastrajawa
120|Isih Ana Dina Esuk|Ardini Pangastuti|Cerpen|1988|sastrajawa
121|Langit Perak ing Ndhuwur Nusa Dua|Ardini Pangastuti|Cerpen|1990|sastrajawa
122|Nalika Prau Gonjing|Ardini Pangastuti|Novel|1993|sastrajawa
123|Garising Papesthen|Ardini Pangastuti|Cerpen|1997|sastrajawa
124|Nalika Srengenge Durung Angslup|Ardini Pangastuti|Cerpen|1997|sastrajawa
125|Kidung Jaman|Ardini Pangastuti|Puisi|1999|sastrajawa
126|Sri Kumenyar|Djajasoekarsa|Novel|1938|sastrajawa
127|Koncatan|Djajus Pete|Puisi|1973|sastrajawa
128|Kasetyan|Djajus Pete|Puisi|1974|sastrajawa
129|Prawan|Djajus Pete|Puisi|1975|sastrajawa
130|Panandhang|Djajus Pete|Puisi|1975|sastrajawa
131|Tatus lawas Kambuh Maneh|Djajus Pete|Cerpen|1971|sastrajawa
132|Baladewa Ilang gapite|Djajus Pete|Cerpen|1972|sastrajawa
133|Antinen Sawatara Dina|Djajus Pete|Cerpen|1974|sastrajawa
134|Mancing|Djajus Pete|Cerpen|1975|sastrajawa
135|Balada Brajangkawat|Suwito Hadi|Puisi|1990|sastrajawa
136|Balada Tukang Kentrung|Suwito Hadi|Puisi|1987|sastrajawa
137|Balada Ragapadmi|Suwito Hadi|Puisi|1987|sastrajawa
138|Elegi Panijah|Suwito Hadi|Puisi|1986|sastrajawa
139|Panjine Man|Suwito Hadi|Puisi|1990|sastrajawa
140|Lamaran|Suwito Hadi|Puisi|1992|sastrajawa
141|Samirah|Suwito Hadi|Puisi|1992|sastrajawa
142|Gethek Siti Jenar|Suwito Hadi|Puisi|1994|sastrajawa
143|Dadi Lakon|Suwito Hadi|Puisi|1994|sastrajawa
144|Sepatu Tuwa|Suwito Hadi|Puisi|1994|sastrajawa
145|Lampu Oblik|Suwito Hadi|Puisi|1995|sastrajawa
146|Kinange Buyut Sorah|Suwito Hadi|Puisi|1995|sastrajawa
147|Aku Dadi Dasamuka|Suwito Hadi|Puisi|1996|sastrajawa
148|Stambul Wonokromo|Suwito Hadi|Puisi|1996|sastrajawa
149|Balada Sawunggaling|Suwito Hadi|Puisi|1998|sastrajawa
150|Pitenah Kembang Mlath|Suwito Hadi|Puisi|1998|sastrajawa
151|Simbok Udane Wis Teka|Suwito Hadi|Puisi|1998|sastrajawa
152|Hujan Jum'at Legi|Suwito Hadi|Puisi|1998|sastrajawa
153|Wengi|Hartono Kadarsono|Puisi|1963|sastrajawa
154|Pethilan|Hartono Kadarsono|Puisi|1964|sastrajawa
155|Penyair|Hartono Kadarsono|Puisi|1966|sastrajawa
156|Prawan Tua|Hartono Kadarsono|Puisi|1968|sastrajawa
157|Cuwilan|Hartono Kadarsono|Puisi|1975|sastrajawa
158|Potret Jaman Saiki|Hartono Kadarsono|Puisi|1977|sastrajawa
159|Ing Pucuk-Pucuk Wengi|Hartono Kadarsono|Puisi|1983|sastrajawa
160|Angendanu|Hartono Kadarsono|Puisi|1987|sastrajawa
161|Ing Staisun|Hartono Kadarsono|Puisi|1998|sastrajawa
162|Saka Pusara|Hartono Kadarsono|Puisi|2000|sastrajawa
163|Guritan|Basoeki Rachmat|Puisi|1963|sastrajawa
164|Paman Tani|Basoeki Rachmat|Puisi|1963|sastrajawa
165|Tembang Prawan Ngancik Dewasa|Basoeki Rachmat|Puisi|1963|sastrajawa
166|Bali|Basoeki Rachmat|Cerpen|1954|sastrajawa
167|Wiwit Donya Ana|Harwimuka|Puisi|1979|sastrajawa
168|Dhokterku|Harwimuka|Puisi|1980|sastrajawa
169|Jam Jaman Jam dan Duplikat|Harwimuka|Puisi|1989|sastrajawa
170|gambah Dalan Padhang|Harwimuka|Puisi|1995|sastrajawa
171|Ilinge Sunar|Harwimuka|Cerpen|1982|sastrajawa
